"date","storage.10e6.m3_mean","elevation.m_mean","discharge.m3.s_mean","precip.mm_mean","airtemp.C_mean","wind.dir.deg_mean","wind.speed.km.hr_mean","storage.10e6.m3_sd","elevation.m_sd","discharge.m3.s_sd","precip.mm_sd","airtemp.C_sd","wind.dir.deg_sd","wind.speed.km.hr_sd","storage.10e6.m3_sum","elevation.m_sum","discharge.m3.s_sum","precip.mm_sum","airtemp.C_sum","wind.dir.deg_sum","wind.speed.km.hr_sum","storage.m3","discharge.m3.d","res.time"
"2017-02-11",23227.5391666667,386.833291666667,13.9529166666667,0.00833333333333333,-1.15708333333333,249.687916666667,2.17333333333333,207.210828278343,0.0539286800898332,0.0203190137270635,0.0408248290463863,2.38761383369266,62.01650958163,2.34292026375608,557460.94,9283.999,334.87,0.2,-27.77,5992.51,52.16,23227539.1666667,1205532,19.2674596499028
"2017-02-12",22505.48125,386.645375,13.6070833333333,0.291666666666667,-1.46208333333333,193.867916666667,5.43083333333333,210.487472152507,0.0547776632515945,0.794817338417624,0.69025305168635,1.37615399532196,88.3099535469871,14.9255290246834,540131.55,9279.489,326.57,7,-35.09,4652.83,130.34,22505481.25,1175652,19.1429787471122
"2017-02-13",21785.5820833333,386.455916666667,12.3225,0.00833333333333333,-5.05708333333333,284.893333333333,14.5358333333333,230.060788752795,0.062114142243667,1.26250355143711,0.0408248290463863,1.8197980756754,36.073235973824,23.1741360547499,522853.97,9274.942,295.74,0.2,-121.37,6837.44,348.86,21785582.0833333,1064664,20.4624013616816
"2017-02-14",20931.22,386.22275,13.6858333333333,0.0333333333333333,-3.38791666666667,207.321666666667,1.11916666666667,251.490578594386,0.0688396056376504,0.0239413534662744,0.127404411454121,5.86752297871914,49.7926582388684,1.6774253476985,502349.28,9269.346,328.46,0.8,-81.31,4975.72,26.86,20931220,1182456,17.7014789556652
"2017-02-15",20110.4345833333,385.998083333333,13.455,0.0166666666666667,-3.65458333333333,296.105,2.78541666666667,248.609555099508,0.0680517173323632,0.185612968062696,0.056465970257328,1.983847774592,14.7010511307126,10.0758954631367,482650.43,9263.954,322.92,0.4,-87.71,7106.52,66.85,20110434.5833333,1162512,17.299119994747
"2017-02-16",19250.8904166667,385.755,13.4754166666667,0,-8.59541666666667,302.18,-0.025,258.974836002318,0.0757260508848115,0.020847096902815,0,1.30122343490126,11.3556601477547,0.0302166093111201,462021.37,9258.12,323.41,0,-206.29,7252.32,-0.6,19250890.4166667,1164276,16.5346450641142
"2017-02-17",18348.3758333333,385.491083333333,13.4508333333333,0,-6.60708333333333,169.93625,0.56875,272.913500453368,0.0798062418102981,0.030348220586282,0,5.54453077888211,53.8687386808455,1.40245223897596,440361.02,9251.786,322.82,0,-158.57,4078.47,13.65,18348375.8333333,1162152,15.7882754005787
"2017-02-18",17453.2841666667,385.225875,13.3375,0,3.04125,229.454583333333,3.79458333333333,257.087393784203,0.0785572693340227,0.0287795217049416,0,4.96545046995388,48.9341918320271,9.29078598217969,418878.82,9245.421,320.1,0,72.99,5506.91,91.07,17453284.1666667,1152360,15.1456872562972
"2017-02-19",16712.5229166667,384.996416666667,13.1875,0,3.37583333333333,293.54875,1.56375,165.311210947825,0.0514392141621802,0.104766821830777,0,1.8963830943614,14.0139139902487,4.12317924243143,401100.55,9239.914,316.5,0,81.02,7045.17,37.53,16712522.9166667,1139400,14.6678277309695
"2017-02-20",16710.5854166667,384.995833333333,9.90041666666667,0,0.479583333333333,177.48,1.41333333333333,179.66156016193,0.0559142718552374,2.82817421388039,0,2.34697118258492,91.5138304586656,2.9004192600481,401054.05,9239.9,237.61,0,11.51,4259.52,33.92,16710585.4166667,855396,19.5354963276268
